MOL1	MOL2	CLASS
OC(=O)c1cccc(O)c1	O=C(NN=C1CCCCCCC1)c1ccncc1	1
CC1=CC(=O)C(=CC1=O)C	Oc1ccc(cc1)C(c1ccc(O)cc1)(C(F)(F)F)C(F)(F)F	1
COc1ccc(cn1)c1cc(C)nc(N)n1	Cc1c(C)c(C)c(c(C)c1C)C(O)=O	1
Oc1ccc(cc1)C1(CCCCC1)c1ccc(O)cc1	Nc1ccccc1N	1
NC(=O)c1ccccn1	OC(C(O)=O)c1ccccc1	1
OC(=O)C1=CC=CC=C1O	NC1=CC=CC(=C1)C(O)=O	0
CC(C)(C)[NH+]=C1C=C(C=C([C]1[O-])C(C)(C)C)C(C)(C)C	CC(C)(C)Nc1cc(cc(c1O)C(C)(C)C)C(C)(C)C	1
Fc1c(F)c(F)c2c(F)c3c(F)c(F)c(F)c(F)c3c(F)c2c1F	COc1ccccc1	1
CN1C(=C([O-])C2=C(C=CS2)S1(=O)=O)C(=O)Nc1[nH+]cccc1	OC(=O)c1ccccc1	1
CC1=CC(=O)C(=CC1=O)C	Cc1cc(ccc1O)C(C)(C)c1ccc(O)c(C)c1	1
O=C1CCCCN1	CCCCNc1cc(cc(c1Oc1ccccc1)S(N)(=O)=O)C(O)=O	1
CN1C=NC2=C1C(=O)N(C)C(=O)N2C	NC(=O)C1=CC=CC=C1[N+](=O)[O-]	0
NC(=O)c1c(F)c(F)c(F)c(F)c1F	OC(=O)c1c(F)c(F)c(F)c(F)c1F	1
CC(C)(C)c1ccccc1N1C(=O)c2cc3C(=O)N(C(=O)c3cc2C1=O)c1ccccc1C(C)(C)C	N1C=Cc2ccccc12	1
c1cc(ccn1)c1ccncc1	Nc1cccc(c1)C(O)=O	1
Oc1ccccc1C=O	COc1ccc(cc1)C1=C(N=C(N1)c1cc(ccc1O)N(=O)=O)c1ccc(OC)cc1	1
OC(=O)C=CC(O)=O	OC(=O)C1=CC=CC=C1[N+](=O)[O-]	0
OC(=O)CCCC(O)=O	N1c2ccccc2N=C1c1ccncc1	1
Nc1ccccc1S(N)(=O)=O	O=C1CCCCCN1	1
NC(=O)C1=CC=CC=C1	COC1=CC=CC(=C1)C(O)=O	0
Cc1cccc(C)n1	NC(N)=O	1
c1ccc2c(c1)ccc1c3ccccc3ccc21	N#CC(C#N)=C1C=CC(C=C1)=C(C#N)C#N	1
OC(CC(O)=O)C(O)=O	NC1=CC=CC=C1C(O)=O	0
NC(=O)N1C2=CC=CC=C2C=CC2=CC=CC=C12	OC(=O)CCCCC(O)=O	0
NC(=O)c1ccncc1	OC(=O)C1CC1	1
CC(CCC(N)=O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C	CCCC(O)C(C)(C)C	1
CCCCCC(O)=O	c1cnccn1	1
ClP1(=NP(=NP2(=N1)Nc1ccccc1CO2)(Cl)Cl)Cl	ClP1(=NP2(=NP(=N1)(Cl)Cl)Nc1ccccc1CO2)Cl	1
NC1CCCC1	OC1(C#C)c2cccc(Cl)c2C(O)(C#C)c2cccc(Cl)c12	1
OC(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O	CC1=NOC(=C1C)NS(=O)(=O)c1ccc(N)cc1	1
CC1(C)OC(C(O1)C(O)(c1ccc(F)cc1)c1ccc(F)cc1)C(O)(c1ccc(F)cc1)c1ccc(F)cc1	ClC1CCCCC1Cl	1
Oc1c(O)c(Br)c(Br)c(Br)c1Br	Cc1ccc2ccc3ccc(C)nc3c2n1	1
c1ccc(nc1)c1ccccn1	NC1=NC(=CS1)C1=CSC(=N1)N	1
CC(C)(C)SS(=O)C(C)(C)C	Oc1ccc2ccccc2c1c1c(O)ccc2ccccc12	1
OC(=O)C1=CC=CC=C1O	OC(=O)C1=CC=C(C=C1)[N+](=O)[O-]	0
Fc1c(F)c(N=Nc2c(F)c(F)c(Br)c(F)c2F)c(F)c(F)c1Br	c1cc(ccn1)C=Cc1ccncc1	1
OC(=O)c1cccc(c1)N(=O)=O	FC1=CNC(=O)NC1=O	1
OC(=O)c1ccc(F)c(F)c1	CN1C(=O)N(C)C2=C(NC=N2)C1=O	1
C=C1C2Cc3ccccc3CC1Cc1ccccc1C2	N#CC(C#N)=C(C#N)C#N	1
NC(=O)c1ccncc1	OC(=O)C1CCC1	1
N#CC(C#N)=C1C=CC(C=C1)=C(C#N)C#N	S1c2ccccc2c2c1ccc1Sc3ccccc3c21	1
C(Cc1ccncc1)c1ccncc1	OC(=O)c1cc(F)c(F)cc1F	1
N#CC(C#N)=C1C=CC(C=C1)=C(C#N)C#N	c1ccc2C#CC#Cc3ccccc3C#CC#Cc2c1	1
O=C1c2cc(ccc2c2ccc(cc12)N(=O)=O)N(=O)=O	c1ccc(nc1)C#Cc1cc(C#Cc2ccccn2)c(cc1C#Cc1ccccn1)C#Cc1ccccn1	1
Oc1ccccc1O	O=C([O-])c1[nH+]cccc1	1
CC1=CC=C(N)C=C1	O=[N+]([O-])C1=CC=C(C=C1)[N+](=O)[O-]	0
CC(=NO)C1(C)NCC(C)(C)CN1	CC(=O)C(C)=NO	1
Fc1c(F)c(I)c(F)c(F)c1I	NC(=S)c1cccc(c1)N(=O)=O	1
OC(=O)CCSCCC(O)=O	OC(=O)C1=CC=C(F)C=C1	0
BrC(c1ccccc1)=C(Br)c1ccccc1	c1ccc(cc1)C#Cc1ccccc1	1
