drug	pathway	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	mean					Curcumin
Curcumin	KEGG_hsa04215	0.513804793	0.615451813	0.606824756	0.405216217	0.563350677	0.53218919	0.633951545	0.603042424	0.724482596	0.501843512	0.587451756	0.623655021	0.577962101	0.506373703	0.621849895	0.574496667					
Curcumin	KEGG_hsa04010	0.87328589	0.84046483	0.789399028	0.625342369	0.79093492	0.732007146	0.800544024	0.847429812	0.831757665	0.727427006	0.775719583	0.784955025	0.825121999	0.788266122	0.828667104	0.790754835					
Curcumin	KEGG_hsa04520	0.476659179	0.580212116	0.484951615	0.228398472	0.381641477	0.502928257	0.474273264	0.528641284	0.600984633	0.406838924	0.513682783	0.561900437	0.545445979	0.418798536	0.362856984	0.471214263					
Curcumin	KEGG_hsa05412	0.210349679	0.277796358	0.229166463	0.084845863	0.319220841	0.200233981	0.282260567	0.259902179	0.273543566	0.170989141	0.236636072	0.232148513	0.2005191	0.277855635	0.357823491	0.240886097					
Curcumin	KEGG_hsa00330	0.232850119	0.210824221	0.233353928	0.197770476	0.215752393	0.195600376	0.213446647	0.245760798	0.179967687	0.155725837	0.169205159	0.261598378	0.243816152	0.14452818	0.37037763	0.218038532					
Curcumin	KEGG_hsa00071	0.295178235	0.359292239	0.354679912	0.143283963	0.271823078	0.275559694	0.211191297	0.228960708	0.363073796	0.189563408	0.259165645	0.284225404	0.266918361	0.194334447	0.248388961	0.26304261					
Curcumin	KEGG_hsa05217	0.264546573	0.299774617	0.207973853	0.136961296	0.295604438	0.159121186	0.326108456	0.194041684	0.297343254	0.155161381	0.213867441	0.298487991	0.317688078	0.278812796	0.349052638	0.252969712					
Curcumin	KEGG_hsa04611	0.536026597	0.723647416	0.540315032	0.353642732	0.599326074	0.55445534	0.590967596	0.635003269	0.710339129	0.512658656	0.460965663	0.561434031	0.608437419	0.59408623	0.558882713	0.56934586					
Curcumin	KEGG_hsa00120	0.095407464	0.145664752	0.139244184	0.113632843	0.162978858	0.185205445	0.319290549	0.126601592	0.214783132	0.172936335	0.177878365	0.130994633	0.112988047	0.15020898	0.160605192	0.160561358					
Curcumin	KEGG_hsa05221	0.674170792	0.701032281	0.681244195	0.613645196	0.692362249	0.668190181	0.692044795	0.698805273	0.758350909	0.656867385	0.681882143	0.718376577	0.709223747	0.732679069	0.734410226	0.694219001					
Curcumin	KEGG_hsa00010	0.226437837	0.335388809	0.293717951	0.107497185	0.216969937	0.223442748	0.212290585	0.252263814	0.346462816	0.165819407	0.214540005	0.293443531	0.219330803	0.19257617	0.315484166	0.241044384					
Curcumin	KEGG_hsa00340	0.058939766	0.179845467	0.167849213	0.109888844	0.192083731	0.131143928	0.162422016	0.102946386	0.113100611	0.195945784	0.119589947	0.276647836	0.162239566	0.217197537	0.163472682	0.156887554					
Curcumin	KEGG_hsa04115	0.592020273	0.713610053	0.655431688	0.502149463	0.621713817	0.592969954	0.637085795	0.685560763	0.76024574	0.572862864	0.599508643	0.62175864	0.701341093	0.596464694	0.573673248	0.628426449					
Curcumin	KEGG_hsa04960	0.446726173	0.614019513	0.513309002	0.428198308	0.315628409	0.452557206	0.537534833	0.299824834	0.616010845	0.359074563	0.447254717	0.557297885	0.3921161	0.439158976	0.384085655	0.453519801					
Curcumin	KEGG_hsa04141	0.598085999	0.458040118	0.482366413	0.21314548	0.450577348	0.456077754	0.564355016	0.549466848	0.640811503	0.351582527	0.460990697	0.379574537	0.596686661	0.564355314	0.480385721	0.483100129					
Curcumin	KEGG_hsa05210	0.703097165	0.76604557	0.754812598	0.60585326	0.743265092	0.651065707	0.749085426	0.718542457	0.786370337	0.730745494	0.739096642	0.749108195	0.743157029	0.815803587	0.763689041	0.734649173					
Curcumin	KEGG_hsa01212	0.225398675	0.182176501	0.255833685	0.156862676	0.284345925	0.252698004	0.275993586	0.284421086	0.365881443	0.202603027	0.232895195	0.227266312	0.192492396	0.150804281	0.323311687	0.240865632					
Curcumin	KEGG_hsa00532	0.150076792	0.115631171	0.096850537	0.064417809	0.103165351	0.10913416	0.162898868	0.162873879	0.156932056	0.068111598	0.116283812	0.089511678	0.0506039	0.248142183	0.257126212	0.130117334					
Curcumin	KEGG_hsa00592	0.180545986	0.161365852	0.269925952	0.073716179	0.167554989	0.193795919	0.180388257	0.140015036	0.157343701	0.111849889	0.218125597	0.158720583	0.146066099	0.139383167	0.315046787	0.174256266					
Curcumin	KEGG_hsa05205	0.810035825	0.875839651	0.795597613	0.562823713	0.785399079	0.657452226	0.790661216	0.826748669	0.854637563	0.484476328	0.771557927	0.763937175	0.82977277	0.772908807	0.821598172	0.760229782					
Curcumin	KEGG_hsa01100	0.816139877	0.840664804	0.741338849	0.448250413	0.588118553	0.555318654	0.670667708	0.832393765	0.892782331	0.205231056	0.771129429	0.705631077	0.760759294	0.700720966	0.754332304	0.685565272					
Curcumin	KEGG_hsa04672	0.316078633	0.385712683	0.459936589	0.240659073	0.317374349	0.29882133	0.411162347	0.300295025	0.363322645	0.373458505	0.246355876	0.341388971	0.2989721	0.521854401	0.33006531	0.347030522					
Curcumin	KEGG_hsa00270	0.111366346	0.163464576	0.15895693	0.057358742	0.235036492	0.254606158	0.273967415	0.162964389	0.245528996	0.14804104	0.092931613	0.221210867	0.125110671	0.21359393	0.191554531	0.17704618					10-Gingerol
Curcumin	KEGG_hsa00730	0.150665879	0.059038799	0.094856545	0.043516211	0.122154474	0.101797692	0.179127187	0.057967592	0.065701917	0.165425792	0.147902459	0.100637347	0.033315502	0.126597181	0.153335378	0.106802664					
Curcumin	KEGG_hsa05212	0.691464663	0.752528667	0.783966243	0.558806956	0.684633732	0.695921779	0.783584177	0.727002919	0.829543591	0.706039667	0.702410698	0.769187987	0.792046547	0.737109661	0.767976642	0.732148262					
Curcumin	KEGG_hsa00591	0.242422312	0.341126323	0.388484269	0.092928827	0.255897611	0.242316484	0.322051257	0.240114108	0.43049714	0.214292765	0.319109529	0.243213132	0.26511243	0.205655709	0.338697404	0.276127953					
Curcumin	KEGG_hsa04622	0.632054269	0.668747127	0.642413437	0.368562609	0.624088466	0.522224903	0.689588606	0.63935113	0.638791859	0.67136848	0.605644822	0.618026912	0.577575624	0.613716483	0.70885098	0.614733714					
Curcumin	KEGG_hsa05203	0.774591327	0.828006446	0.766290605	0.581145704	0.713941753	0.691816628	0.727201581	0.708341897	0.818655431	0.571243167	0.744263172	0.718044221	0.789111435	0.677740812	0.664523542	0.718327848					
Curcumin	KEGG_hsa04072	0.551354945	0.638065994	0.551393151	0.306118578	0.559804022	0.565684378	0.581495047	0.666593909	0.711975276	0.619822919	0.619767368	0.557779551	0.56538707	0.69952178	0.694741249	0.592633682					
Curcumin	KEGG_hsa00640	0.14820981	0.221107394	0.190622672	0.098560512	0.207920998	0.134103164	0.186565742	0.076329775	0.258166522	0.146896318	0.168808669	0.229903176	0.213993475	0.224268153	0.123117499	0.175238259					
Curcumin	KEGG_hsa04650	0.745457232	0.775215149	0.657054901	0.450570673	0.64686799	0.591118157	0.71265763	0.715233743	0.734017015	0.525803149	0.672717094	0.758178115	0.705615938	0.725926816	0.667110741	0.67223629					
Curcumin	KEGG_hsa05414	0.406723529	0.544882059	0.376037538	0.192084059	0.316990197	0.272200018	0.239052147	0.356429011	0.390074998	0.256349713	0.398320466	0.32613194	0.374429911	0.308072597	0.399736524	0.343834314					
Curcumin	KEGG_hsa00900	0.128308907	0.211855903	0.176718533	0.085252911	0.188083068	0.146919921	0.261362463	0.098469898	0.143321916	0.085018344	0.11826735	0.130473658	0.095753603	0.155174047	0.136020467	0.144066733					
Curcumin	KEGG_hsa04380	0.800761759	0.828241646	0.760153294	0.556101143	0.705950975	0.69233948	0.826642215	0.780413866	0.834260464	0.793795466	0.705040812	0.828553319	0.789176226	0.791784763	0.860054195	0.770217975					
Curcumin	KEGG_hsa04966	0.08512944	0.123479582	0.111159854	0.06088106	0.194051221	0.090037033	0.122353204	0.117008947	0.106352441	0.144222066	0.151039749	0.126495346	0.155996114	0.175288603	0.242766231	0.133750726					
Curcumin	KEGG_hsa04910	0.724979937	0.752938986	0.703645885	0.499294758	0.664820731	0.622203112	0.659233391	0.772396207	0.744679451	0.500998437	0.666086495	0.738961756	0.724482656	0.771273613	0.741284311	0.685818648					
Curcumin	KEGG_hsa05150	0.25834772	0.444520772	0.338174313	0.197461799	0.361025453	0.170090809	0.400333524	0.235514268	0.294220179	0.351902276	0.28260538	0.276043653	0.214975491	0.252333879	0.28434521	0.290792982					
Curcumin	KEGG_hsa04350	0.574199438	0.709739745	0.640360475	0.264439613	0.594238162	0.547759354	0.439798981	0.634823859	0.664538324	0.30399704	0.515818417	0.585837901	0.625235677	0.638342023	0.586371362	0.555033358					
Curcumin	KEGG_hsa04360	0.624678493	0.528707623	0.520303249	0.17756708	0.41280809	0.414611638	0.481175631	0.487531722	0.575161874	0.272337049	0.51160866	0.464041084	0.434647828	0.570841491	0.37511465	0.456742411					
