drug	pathway
berberine	KEGG_hsa04614	1
berberine	KEGG_hsa01521	1
berberine	KEGG_hsa01523	1
berberine	KEGG_hsa01522	1
berberine	KEGG_hsa04010	1
berberine	KEGG_hsa05418	1
berberine	KEGG_hsa00900	1
berberine	KEGG_hsa00220	1
berberine	KEGG_hsa04110	1
berberine	KEGG_hsa04144	1
berberine	KEGG_hsa04260	1
berberine	KEGG_hsa04916	1
berberine	KEGG_hsa05162	1
berberine	KEGG_hsa05131	1
berberine	KEGG_hsa04977	1
berberine	KEGG_hsa00350	1
berberine	KEGG_hsa04728	1
berberine	KEGG_hsa04550	1
berberine	KEGG_hsa00250	1
berberine	KEGG_hsa05016	1
berberine	KEGG_hsa05134	1
berberine	KEGG_hsa04924	1
berberine	KEGG_hsa00410	1
berberine	KEGG_hsa03450	1
berberine	KEGG_hsa00071	1
berberine	KEGG_hsa04933	1
berberine	KEGG_hsa03410	1
berberine	KEGG_hsa03010	1
berberine	KEGG_hsa05146	1
berberine	KEGG_hsa03013	1
berberine	KEGG_hsa04510	1
berberine	KEGG_hsa04972	1
berberine	KEGG_hsa05161	1
berberine	KEGG_hsa00650	1
berberine	KEGG_hsa00190	1
berberine	KEGG_hsa05332	1
berberine	KEGG_hsa04810	1
berberine	KEGG_hsa05231	1
berberine	KEGG_hsa05164	1
berberine	KEGG_hsa03040	1
berberine	KEGG_hsa04668	1
berberine	KEGG_hsa04974	1
berberine	KEGG_hsa00061	1
berberine	KEGG_hsa04912	1
berberine	KEGG_hsa04962	1
berberine	KEGG_hsa00232	1
berberine	KEGG_hsa00770	1
berberine	KEGG_hsa05215	1
berberine	KEGG_hsa05321	1
berberine	KEGG_hsa04960	1
berberine	KEGG_hsa01212	1
berberine	KEGG_hsa05222	1
berberine	KEGG_hsa05410	1
berberine	KEGG_hsa04530	1
berberine	KEGG_hsa04210	1
berberine	KEGG_hsa04310	1
berberine	KEGG_hsa05020	1
berberine	KEGG_hsa04721	1
berberine	KEGG_hsa00565	1
berberine	KEGG_hsa00670	1
berberine	KEGG_hsa00790	1
berberine	KEGG_hsa04066	1
berberine	KEGG_hsa01524	1
berberine	KEGG_hsa04371	1
berberine	KEGG_hsa03460	1
berberine	KEGG_hsa00010	1
berberine	KEGG_hsa04630	1
berberine	KEGG_hsa00760	1
berberine	KEGG_hsa00270	1
berberine	KEGG_hsa04920	1
berberine	KEGG_hsa04670	1
berberine	KEGG_hsa04360	1
berberine	KEGG_hsa00620	1
berberine	KEGG_hsa03018	1
berberine	KEGG_hsa00630	1
berberine	KEGG_hsa00562	1
berberine	KEGG_hsa00740	1
berberine	KEGG_hsa04940	1
berberine	KEGG_hsa03430	1
berberine	KEGG_hsa04392	1
berberine	KEGG_hsa05224	1
berberine	KEGG_hsa04662	1
berberine	KEGG_hsa05100	1
berberine	KEGG_hsa00603	1
berberine	KEGG_hsa04140	1
berberine	KEGG_hsa04015	1
berberine	KEGG_hsa00062	1
berberine	KEGG_hsa00100	1
berberine	KEGG_hsa04666	1
berberine	KEGG_hsa04080	1
berberine	KEGG_hsa05216	1
berberine	KEGG_hsa00340	1
berberine	KEGG_hsa04270	1
berberine	KEGG_hsa03030	1
berberine	KEGG_hsa00140	1
berberine	KEGG_hsa04966	1
berberine	KEGG_hsa04071	1
berberine	KEGG_hsa04062	1
berberine	KEGG_hsa04722	1
berberine	KEGG_hsa05033	1
berberine	KEGG_hsa04913	1
berberine	KEGG_hsa04923	1
berberine	KEGG_hsa00052	1
berberine	KEGG_hsa00534	1
berberine	KEGG_hsa00591	1
berberine	KEGG_hsa04727	1
berberine	KEGG_hsa05323	1
berberine	KEGG_hsa00440	1
berberine	KEGG_hsa04072	1
berberine	KEGG_hsa00310	1
berberine	KEGG_hsa00520	1
berberine	KEGG_hsa04620	1
berberine	KEGG_hsa03050	1
berberine	KEGG_hsa00120	1
berberine	KEGG_hsa04350	1
berberine	KEGG_hsa04726	1
berberine	KEGG_hsa04216	1
berberine	KEGG_hsa05320	1
